Name,compass16.ALT.h+.2<z.dx
Comment,COMPASS16 DSSA-A.LT  h+ from p, (0.2<z<1) (differential in x)
Reference,1609.07374
Process type,SIDIS
Number of points,26
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.03
Total cross-section nomalized,False
List of points 
Point id,process id,weightProcess,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
compass16.ALT.h+.2<z.dx.0,1 - 1 - 13101,1 - 1 - 2101,301.03984399999996,1.1269427669584644,1.0,2.0,0.006,0.003,0.008,0.36,0.2,1.0,0.54,0.1,10.0,-0.008,0.014,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h+.2<z.dx.1,1 - 1 - 13101,1 - 1 - 2101,301.03984399999996,1.2529964086141667,1.0,2.0,0.011,0.008,0.014,0.37,0.2,1.0,0.53,0.1,10.0,-0.006,0.012,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h+.2<z.dx.2,1 - 1 - 13101,1 - 1 - 2101,301.03984399999996,1.3453624047073711,1.0,2.0,0.018,0.014,0.022,0.37,0.2,1.0,0.52,0.1,10.0,-0.008,0.015,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h+.2<z.dx.3,1 - 1 - 13101,1 - 1 - 2101,301.03984399999996,1.374772708486752,1.0,2.0,0.028,0.022,0.035,0.38,0.2,1.0,0.5,0.1,10.0,0.02,0.022,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h+.2<z.dx.4,1 - 1 - 13101,1 - 1 - 2101,301.03984399999996,1.4832396974191326,1.0,2.0,0.043,0.035,0.055,0.38,0.2,1.0,0.48,0.1,10.0,-0.003,0.035,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h+.2<z.dx.5,1 - 1 - 13101,1 - 1 - 2101,301.03984399999996,1.697056274847714,1.0,2.0,0.071,0.055,0.105,0.38,0.2,1.0,0.47,0.1,10.0,0.08,0.061,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h+.2<z.dx.6,1 - 1 - 13101,1 - 1 - 2101,301.03984399999996,1.9026297590440449,1.0,2.0,0.11,0.105,0.145,0.39,0.2,1.0,0.45,0.1,10.0,-0.021,0.248,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h+.2<z.dx.7,1 - 1 - 13101,1 - 1 - 2101,301.03984399999996,2.1213203435596424,2.0,2.5,0.02,0.014,0.022,0.36,0.2,1.0,0.58,0.1,10.0,0.057,0.046,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h+.2<z.dx.8,1 - 1 - 13101,1 - 1 - 2101,301.03984399999996,2.2045407685048604,2.0,2.5,0.029,0.022,0.035,0.35,0.2,1.0,0.57,0.1,10.0,0.028,0.029,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h+.2<z.dx.9,1 - 1 - 13101,1 - 1 - 2101,301.03984399999996,2.2203603311174516,2.0,2.5,0.045,0.035,0.055,0.36,0.2,1.0,0.54,0.1,10.0,0.063,0.037,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h+.2<z.dx.10,1 - 1 - 13101,1 - 1 - 2101,301.03984399999996,2.227105745132009,2.0,2.5,0.076,0.055,0.105,0.37,0.2,1.0,0.5,0.1,10.0,0.082,0.05,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h+.2<z.dx.11,1 - 1 - 13101,1 - 1 - 2101,301.03984399999996,2.240535650240808,2.0,2.5,0.12,0.105,0.145,0.38,0.2,1.0,0.47,0.1,10.0,0.067,0.104,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h+.2<z.dx.12,1 - 1 - 13101,1 - 1 - 2101,301.03984399999996,2.349468024894146,2.0,2.5,0.164,0.145,0.215,0.39,0.2,1.0,0.45,0.1,10.0,-0.196,0.218,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h+.2<z.dx.13,1 - 1 - 13101,1 - 1 - 2101,301.03984399999996,2.6645825188948455,2.5,4.0,0.031,0.022,0.035,0.36,0.2,1.0,0.6,0.1,10.0,-0.083,0.055,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h+.2<z.dx.14,1 - 1 - 13101,1 - 1 - 2101,301.03984399999996,2.8635642126552705,2.5,4.0,0.046,0.035,0.055,0.35,0.2,1.0,0.58,0.1,10.0,0.032,0.032,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
compass16.ALT.h+.2<z.dx.15,1 - 1 - 13101,1 - 1 - 2101,301.03984399999996,3.0166206257996713,2.5,4.0,0.077,0.055,0.105,0.36,0.2,1.0,0.55,0.1,10.0,0.004,0.029,1.0,True,0.1,0.9,10.0,10000.0,0.938,0.139
