Name,E155-32.p
Comment,Taken from tables 4, 5, 6. Bin in Q and x guessed by us.
Reference,arXiv:hep-ex/0204028v1
Process type,G2
Number of points,20
Number of uncorr.errors,3
Number of corr.errors,0
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,xSec,Uncorr.Err.0,Uncorr.Err.1,Uncorr.Err.2,Th.Factor,FiducialCuts,
E155-32.p.0,100,61.47464399999999,0.8944271909999159,0.8672991374746168,0.9215552445252149,0.021,0.018500000000000003,0.0235,-0.007,0.02,0.0015748000000000001,0.0,0.021
E155-32.p.1,100,61.47464399999999,0.9486832980505138,0.9215552445252149,0.9987460731103327,0.026,0.0235,0.032,-0.004,0.014,0.0015688000000000002,0.0,0.026
E155-32.p.2,100,61.47464399999999,1.0488088481701516,0.9987460731103327,1.0944921366346447,0.038,0.032,0.0495,-0.015640550943450293,0.009,0.0015544,0.0015307851135763616,0.038
E155-32.p.3,100,61.47464399999999,1.140175425099138,1.0944921366346447,1.202543244583245,0.061,0.0495,0.0795,-0.008793594329576814,0.008,0.0015268,0.002078807626882512,0.061
E155-32.p.4,100,61.47464399999999,1.2649110640673518,1.202543244583245,1.3032759252836128,0.098,0.0795,0.1265,-0.01635094229098883,0.008,0.0014824,0.003202725254334886,0.098
E155-32.p.5,100,61.47464399999999,1.3416407864998738,1.3032759252836128,1.3779271744364845,0.155,0.1265,0.2,-0.004443258749193957,0.009,0.0014140000000000001,0.0026194544160583586,0.155
E155-32.p.6,100,61.47464399999999,1.4142135623730951,1.3779271744364845,1.4316756184960195,0.245,0.2,0.3125,0.012281095173400095,0.009,0.001306,0.0017549163269914407,0.245
E155-32.p.7,100,61.47464399999999,1.449137674618944,1.4316756184960195,1.4665997307418683,0.38,0.3125,0.4475,0.044683549823332766,0.017,0.001144,0.0026535891750943865,0.38
E155-32.p.8,100,61.47464399999999,1.6431676725154984,1.5293371620797624,1.7569981829512344,0.061,0.042499999999999996,0.0795,-0.05664846757780849,0.042,0.0015268,0.002601028780088572,0.061
E155-32.p.9,100,61.47464399999999,1.8708286933869707,1.7569981829512344,1.9842231948636369,0.098,0.0795,0.1265,-0.008536770929088696,0.011,0.0014824,0.0037069750162676577,0.098
E155-32.p.10,100,61.47464399999999,2.0976176963403033,1.9842231948636369,2.199895291492285,0.155,0.1265,0.2,0.006354954560707043,0.008,0.0014140000000000001,0.002780317883202057,0.155
E155-32.p.11,100,61.47464399999999,2.3021728866442674,2.199895291492285,2.3859953468449806,0.245,0.2,0.3125,0.008835064671311628,0.007,0.001306,0.0016245775430029257,0.245
E155-32.p.12,100,61.47464399999999,2.4698178070456938,2.3859953468449806,2.5291268140773253,0.38,0.3125,0.48,0.013514918405966834,0.007,0.001144,0.002230425277075795,0.38
E155-32.p.13,100,61.47464399999999,2.588435821108957,2.5291268140773253,2.6170935660867736,0.58,0.48,0.6799999999999999,0.003958095532841849,0.005,0.0009040000000000002,0.0016085841679556487,0.58
E155-32.p.14,100,61.47464399999999,2.6457513110645907,2.6170935660867736,2.674409056042408,0.78,0.6799999999999999,0.8800000000000001,-0.0012151161260502766,0.003,0.0006640000000000001,0.0017206599861274126,0.78
E155-32.p.15,100,61.47464399999999,2.6645825188948455,2.4236605060870406,2.9055045317026504,0.155,0.11,0.2,0.011189748108410395,0.019,0.0014140000000000001,0.002852727413349129,0.155
E155-32.p.16,100,61.47464399999999,3.146426544510455,2.9055045317026504,3.382909379340613,0.245,0.2,0.3125,0.003170765633605497,0.013,0.001306,0.0016126122872493949,0.245
E155-32.p.17,100,61.47464399999999,3.6193922141707713,3.382909379340613,3.8283590309040205,0.38,0.3125,0.48,0.0051223911378761935,0.01,0.001144,0.0020344093834986227,0.38
E155-32.p.18,100,61.47464399999999,4.03732584763727,3.8283590309040205,4.163423982771357,0.58,0.48,0.6799999999999999,-0.007480333817878736,0.008,0.0009040000000000002,0.0014114089048764575,0.58
E155-32.p.19,100,61.47464399999999,4.2895221179054435,4.163423982771357,4.41562025303953,0.78,0.6799999999999999,0.8800000000000001,-0.005902873118231421,0.004,0.0006640000000000001,0.0013677754508673232,0.78
